"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify UI state consistency when adding and removing items. This test ensures the cart badge count remains consistent during repeated add/remove operations.","384","test_ui_state_consistency[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that an item can be added to cart from the product details page. This test ensures the cart badge updates correctly after adding from details page.","87","test_add_item_from_product_details_page[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that product details can be viewed by clicking on a product name. This test ensures navigation to the product details page.","36","test_view_product_details[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that accessing the inventory page directly without login redirects to the login page. This test ensures proper authentication protection.","233","test_direct_url_access[firefox]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that the performance glitch user can log in successfully. This test ensures different user types can access the system.","5289","test_performance_user[chromium]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify UI state consistency when adding and removing items. This test ensures the cart badge count remains consistent during repeated add/remove operations.","197","test_ui_state_consistency[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify validation error when first name is missing. This test ensures proper form validation and displays appropriate error message.","55","test_missing_first_name[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that a user can cancel from the checkout overview page and return to inventory. This test ensures proper navigation after cancellation.","87","test_cancel_from_checkout_overview[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that cart items persist after page refresh. This test ensures data is maintained in the session and cart state remains consistent.","173","test_cart_persists_after_page_refresh[firefox]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify that a user can cancel the checkout process and return to the cart page. This test ensures the cancel functionality works correctly.","86","test_cancel_checkout[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify checkout process with multiple items in the cart. This test ensures all items are processed correctly during checkout.","454","test_checkout_with_multiple_items[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that the cart displays items correctly after adding an item from the inventory. This test ensures the cart item count is accurate and visual verification is captured.","26","test_view_cart_with_items[firefox]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify that a standard user can successfully log in with valid credentials. This test ensures the user is redirected to the inventory page after login.","620","test_valid_login_standard_user[firefox]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify validation error when postal code is missing. This test ensures proper form validation and displays appropriate error message for postal code field.","53","test_missing_postal_code[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that tax is correctly calculated and displayed in the checkout. This test ensures tax is greater than zero and properly formatted.","103","test_tax_validation[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify validation error when last name is missing. This test ensures proper form validation and displays appropriate error message for last name field.","192","test_missing_last_name[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that the checkout overview page displays all cart items correctly. This test ensures item count and details are shown on the overview page.","126","test_checkout_overview_page[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify the complete checkout flow with valid user information. This test ensures that a user can successfully complete a purchase and receive a confirmation message.","120","test_valid_checkout[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that products can be sorted by price from high to low. This test ensures products are displayed in descending price order.","35","test_sort_products_by_price_high_to_low[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that products can be sorted alphabetically from A to Z. This test ensures products are displayed in ascending alphabetical order.","61","test_sort_products_by_name_a_to_z[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that login fails with an invalid username. This test ensures an appropriate error message is displayed when the username doesn't exist.","247","test_invalid_username[chromium]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that a standard user can successfully log in with valid credentials. This test ensures the user is redirected to the inventory page after login.","353","test_valid_login_standard_user[chromium]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that a user can successfully remove an item from the cart. This test ensures the cart updates correctly after removal and the item count becomes zero.","31","test_remove_item_from_cart[chromium]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify that a locked out user cannot log in. This test ensures the appropriate error message is displayed for locked accounts.","374","test_locked_out_user[firefox]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify the complete checkout flow with valid user information. This test ensures that a user can successfully complete a purchase and receive a confirmation message.","185","test_valid_checkout[firefox]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that an item can be removed directly from the inventory page. This test ensures the cart badge count decreases to 0 after removal.","65","test_remove_item_from_cart_on_inventory_page[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that products can be sorted alphabetically from A to Z. This test ensures products are displayed in ascending alphabetical order.","37","test_sort_products_by_name_a_to_z[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that the Continue Shopping button navigates the user back to the inventory page. This test ensures proper navigation flow from cart to inventory.","75","test_continue_shopping_from_cart[firefox]","tests","2026-08-08","passed","2026-08-08","","test_cart","",""
"Verify that tax is correctly calculated and displayed in the checkout. This test ensures tax is greater than zero and properly formatted.","72","test_tax_validation[chromium]","tests","2026-08-08","passed","2026-08-08","","test_checkout","",""
"Verify that a logged-in user can successfully log out. This test ensures the user is redirected to the login page after logout.","1226","test_logout_flow[chromium]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that login fails when both username and password are empty. This test ensures validation requires both fields to be filled.","272","test_empty_username_and_password[chromium]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that products can be sorted by price from low to high. This test ensures products are displayed in ascending price order.","62","test_sort_products_by_price_low_to_high[firefox]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that products can be sorted by price from low to high. This test ensures products are displayed in ascending price order.","35","test_sort_products_by_price_low_to_high[chromium]","tests","2026-08-08","passed","2026-08-08","","test_inventory","",""
"Verify that login fails with an invalid password. This test ensures an appropriate error message is displayed when the password is incorrect.","258","test_invalid_password[chromium]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
"Verify that login fails with an invalid password. This test ensures an appropriate error message is displayed when the password is incorrect.","390","test_invalid_password[firefox]","tests","2026-08-08","passed","2026-08-08","","test_login","",""
